# Mock catalog for sample 4
# C_ls averaged over 7 boxes.
#    ell          C_l^gg          C_l^kg
  49.500     2.06075e-05     7.56431e-07
  99.500     1.25063e-05     4.17908e-07
 149.500     9.71213e-06     2.95595e-07
 199.500     7.08509e-06     2.01613e-07
 249.500     5.68151e-06     1.46178e-07
 299.500     4.94007e-06     1.16821e-07
 349.500     4.22413e-06     9.04506e-08
 399.500     3.85568e-06     7.53760e-08
 449.500     3.54459e-06     6.28570e-08
 499.500     3.30517e-06     5.37768e-08
 549.500     3.12676e-06     4.63098e-08
 599.500     2.94866e-06     4.05345e-08
 649.500     2.82667e-06     3.56197e-08
 699.500     2.75799e-06     3.23754e-08
 749.500     2.65632e-06     2.90568e-08
 799.500     2.57298e-06     2.64080e-08
 849.500     2.51594e-06     2.45464e-08
 899.500     2.45942e-06     2.25787e-08
 949.500     2.41921e-06     2.06707e-08
 999.500     2.36620e-06     1.93247e-08
