# Mock catalog for sample 1
# C_ls averaged over 7 boxes.
#    ell          C_l^gg          C_l^kg
  49.500     5.64679e-05     9.79823e-07
  99.500     2.87891e-05     5.02358e-07
 149.500     1.84244e-05     2.68961e-07
 199.500     1.35145e-05     1.82564e-07
 249.500     1.09160e-05     1.32437e-07
 299.500     9.27947e-06     1.04257e-07
 349.500     8.14119e-06     8.05350e-08
 399.500     7.48100e-06     6.83000e-08
 449.500     6.83038e-06     5.68022e-08
 499.500     6.46794e-06     5.11596e-08
 549.500     6.12802e-06     4.55553e-08
 599.500     5.83275e-06     3.98118e-08
 649.500     5.59808e-06     3.77881e-08
 699.500     5.45401e-06     3.35872e-08
 749.500     5.32731e-06     3.22219e-08
 799.500     5.15955e-06     3.01080e-08
 849.500     5.01441e-06     2.71525e-08
 899.500     4.98257e-06     2.58481e-08
 949.500     4.85916e-06     2.37968e-08
 999.500     4.78410e-06     2.33881e-08
