# Mock catalog for sample 2
# C_ls averaged over 7 boxes.
#    ell          C_l^gg          C_l^kg
  49.500     3.43223e-05     8.24245e-07
  99.500     1.87530e-05     4.61362e-07
 149.500     1.17487e-05     2.61971e-07
 199.500     8.52185e-06     1.72998e-07
 249.500     6.76069e-06     1.31372e-07
 299.500     5.61168e-06     1.03088e-07
 349.500     4.76982e-06     7.58940e-08
 399.500     4.26283e-06     6.36066e-08
 449.500     3.84546e-06     5.49343e-08
 499.500     3.57041e-06     4.70230e-08
 549.500     3.31279e-06     4.12903e-08
 599.500     3.14867e-06     3.66603e-08
 649.500     2.98702e-06     3.31673e-08
 699.500     2.84204e-06     2.95602e-08
 749.500     2.74523e-06     2.68350e-08
 799.500     2.65821e-06     2.49769e-08
 849.500     2.56766e-06     2.30824e-08
 899.500     2.51345e-06     2.16891e-08
 949.500     2.43092e-06     1.97888e-08
 999.500     2.39174e-06     1.86157e-08
