# Angular number densities per z bin ("number per bin")
# i.e., the number of galaxies per sq.deg. that have zmin<z<zmax.
# Both imaging and spectroscopic weights are included.
# The dz size is 0.01.
# 
# Columns are: redshift, dNdz (sample 1), dNdz (sample 2), dNdz (sample 3), dNdz (sample 4)
2.050000000000000433e-01 1.951363636363636495e-02 1.677045454545454672e-02 8.945454545454544631e-03 1.259545454545454683e-02
2.149999999999999967e-01 2.354090909090909151e-02 1.905454545454545595e-02 1.100000000000000110e-02 1.251363636363636393e-02
2.250000000000000056e-01 2.877045454545455044e-02 2.217500000000000374e-02 1.454090909090909045e-02 8.743181818181818346e-03
2.349999999999999867e-01 3.639318181818182452e-02 2.497272727272727491e-02 1.345909090909090666e-02 5.770454545454545628e-03
2.450000000000000233e-01 3.794545454545454610e-02 2.248636363636363766e-02 1.074318181818181839e-02 8.256818181818182875e-03
2.550000000000000044e-01 4.579772727272727467e-02 2.174318181818181775e-02 1.602727272727272681e-02 9.054545454545455743e-03
2.650000000000000133e-01 5.371590909090909194e-02 2.822954545454545855e-02 1.722954545454545572e-02 1.048636363636363568e-02
2.750000000000000222e-01 6.565000000000000002e-02 2.425681818181818147e-02 1.322954545454545563e-02 7.770454545454546537e-03
2.850000000000000866e-01 8.958409090909090489e-02 3.045909090909091135e-02 1.420227272727272831e-02 8.999999999999999320e-03
2.949999999999999845e-01 1.037045454545454659e-01 3.568863636363636682e-02 1.348636363636363834e-02 8.000000000000000167e-03
3.049999999999999933e-01 1.323272727272727101e-01 4.494545454545454538e-02 1.520227272727272746e-02 6.256818181818181966e-03
3.150000000000000577e-01 1.731363636363636438e-01 5.899999999999999689e-02 3.683636363636363237e-02 3.166136363636364026e-02
3.250000000000000111e-01 2.198795454545454942e-01 4.614772727272727776e-02 2.151363636363636672e-02 1.122954545454545386e-02
3.350000000000000755e-01 3.234363636363636885e-01 6.994545454545454677e-02 2.043181818181818293e-02 1.148636363636363657e-02
3.449999999999999734e-01 4.690159090909090667e-01 6.912045454545454048e-02 1.797272727272727216e-02 1.228409090909091117e-02
3.549999999999999822e-01 6.469613636363636955e-01 6.714772727272727559e-02 1.725681818181818220e-02 1.005454545454545490e-02
3.649999999999999911e-01 9.592113636363636120e-01 6.791818181818180811e-02 1.825681818181817961e-02 9.743181818181817500e-03
3.750000000000000000e-01 1.296797727272727352e+00 8.148636363636363455e-02 2.020227272727272844e-02 8.486363636363635637e-03
3.850000000000000089e-01 1.764797727272727323e+00 8.966136363636365014e-02 2.054090909090909231e-02 1.608181818181818323e-02
3.950000000000000733e-01 2.396088636363636226e+00 9.809318181818182936e-02 2.145909090909091030e-02 8.770454545454544823e-03
4.050000000000000266e-01 2.969170454545455140e+00 9.783636363636363797e-02 1.545909090909091017e-02 1.248636363636363746e-02
4.149999999999999245e-01 3.610152272727273459e+00 1.055522727272727307e-01 1.614772727272727193e-02 1.128409090909090855e-02
4.250000000000000444e-01 4.107890909090908593e+00 1.141750000000000126e-01 1.499999999999999771e-02 7.513636363636364696e-03
4.349999999999999978e-01 4.503074999999999939e+00 1.506340909090909119e-01 1.574318181818181936e-02 7.486363636363637351e-03
4.450000000000000067e-01 4.886629545454545642e+00 1.769840909090909242e-01 2.045909090909090941e-02 7.540909090909091173e-03
4.550000000000000155e-01 5.047324999999999839e+00 2.171204545454545609e-01 1.525681818181818042e-02 8.513636363636365584e-03
4.650000000000000244e-01 4.961793181818181075e+00 2.665090909090909177e-01 2.299999999999999961e-02 1.205454545454545494e-02
4.749999999999999778e-01 5.200961363636364077e+00 3.139840909090909071e-01 2.200000000000000219e-02 1.100000000000000110e-02
4.849999999999999867e-01 5.322268181818182065e+00 4.265636363636364226e-01 2.305454545454545950e-02 7.229545454545454643e-03
4.950000000000000511e-01 5.433227272727273238e+00 5.978909090909091395e-01 1.945909090909091199e-02 8.284090909090909352e-03
5.050000000000000044e-01 5.398468181818182110e+00 9.142727272727273480e-01 2.231136363636363612e-02 5.256818181818181945e-03
5.150000000000000133e-01 4.974229545454545764e+00 1.313077272727272593e+00 2.302727272727272609e-02 6.054545454545454813e-03
5.250000000000000222e-01 4.793109090909090320e+00 1.973084090909090760e+00 2.956818181818181637e-02 7.256818181818181987e-03
5.350000000000000311e-01 3.896131818181818307e+00 3.147054545454545771e+00 3.802727272727272206e-02 1.122954545454545386e-02
5.450000000000000400e-01 2.732100000000000417e+00 4.456368181818181284e+00 4.582499999999999768e-02 2.405454545454545692e-02
5.550000000000000488e-01 1.703434090909090592e+00 5.795797727272726796e+00 5.456818181818181429e-02 1.885227272727272793e-02
5.649999999999999467e-01 1.070293181818181782e+00 6.783318181818182246e+00 6.365000000000001212e-02 1.248636363636363746e-02
5.749999999999999556e-01 6.679659090909091379e-01 7.110761363636363797e+00 8.832727272727272649e-02 2.456818181818182234e-02
5.849999999999999645e-01 4.102068181818182002e-01 7.415815909090909486e+00 1.179613636363636281e-01 2.131136363636363870e-02
5.949999999999999734e-01 2.795295454545454472e-01 7.769245454545455232e+00 1.484750000000000236e-01 1.805454545454545506e-02
6.049999999999999822e-01 1.750545454545454349e-01 8.149927272727273575e+00 2.020159090909091071e-01 2.356818181818182145e-02
6.149999999999999911e-01 1.378522727272727399e-01 8.331872727272726209e+00 2.741250000000000075e-01 2.610909090909090818e-02
6.250000000000000000e-01 1.015409090909091122e-01 8.142875000000000085e+00 3.965568181818181492e-01 2.408181818181818340e-02
6.350000000000000089e-01 6.745909090909091299e-02 8.124140909090909801e+00 5.309545454545454568e-01 2.833863636363636793e-02
6.450000000000000178e-01 6.351363636363636933e-02 8.082293181818183569e+00 6.876704545454546125e-01 3.467727272727273019e-02
6.550000000000001377e-01 5.025681818181818722e-02 8.060415909090909992e+00 9.545931818181818684e-01 4.044772727272728102e-02
6.650000000000000355e-01 3.897272727272727000e-02 7.902097727272727745e+00 1.221947727272727269e+00 4.470454545454546208e-02
6.750000000000000444e-01 3.471590909090908894e-02 7.481922727272727336e+00 1.580313636363636309e+00 5.532727272727273188e-02
6.850000000000000533e-01 2.000000000000000042e-02 7.031811363636363943e+00 2.292293181818181758e+00 6.686818181818181273e-02
6.949999999999999512e-01 1.499999999999999771e-02 6.193888636363635847e+00 3.268502272727273006e+00 9.496590909090911470e-02
7.050000000000000711e-01 1.100000000000000110e-02 5.081388636363636913e+00 4.338052272727272118e+00 1.140204545454545498e-01
7.150000000000000799e-01 9.486363636363636526e-03 4.038025000000000198e+00 5.351786363636364285e+00 1.577795454545454779e-01
7.249999999999999778e-01 6.770454545454545649e-03 3.160475000000000367e+00 6.394852272727272968e+00 2.219159090909090803e-01
7.349999999999999867e-01 4.513636363636363766e-03 2.451863636363636356e+00 7.317738636363634974e+00 2.699590909090909263e-01
7.449999999999999956e-01 8.770454545454544823e-03 1.839154545454545264e+00 8.274343181818181847e+00 3.533681818181818590e-01
7.550000000000000044e-01 6.540909090909090284e-03 1.229702272727272838e+00 8.949654545454546195e+00 5.020068181818182484e-01
7.650000000000000133e-01 3.486363636363636834e-03 7.522590909090910438e-01 9.463874999999999815e+00 7.441477272727272663e-01
7.750000000000000222e-01 3.284090909090909682e-03 4.406318181818182356e-01 9.799895454545453077e+00 1.179409090909090851e+00
7.849999999999999201e-01 3.513636363636364179e-03 2.477840909090908983e-01 9.719004545454543731e+00 1.661881818181818460e+00
7.950000000000001510e-01 2.000000000000000042e-03 1.514681818181818351e-01 9.693390909090908281e+00 2.417693181818181714e+00
8.050000000000001599e-01 3.000000000000000496e-03 1.204795454545454780e-01 9.322000000000000952e+00 2.931665909090908961e+00
8.149999999999999467e-01 4.797727272727272951e-03 9.003181818181818508e-02 8.551511363636363328e+00 3.405084090909090921e+00
8.249999999999999556e-01 3.797727272727272497e-03 6.527272727272727393e-02 7.884152272727273036e+00 3.795731818181818262e+00
8.349999999999999645e-01 2.797727272727273343e-03 5.904318181818182104e-02 7.099052272727274016e+00 4.473424999999999763e+00
8.449999999999999734e-01 2.256818181818181883e-03 5.055681818181818887e-02 6.292388636363636323e+00 5.086740909090909035e+00
8.550000000000000933e-01 2.256818181818181883e-03 3.962272727272728168e-02 5.474020454545454939e+00 5.552186363636363531e+00
8.649999999999999911e-01 1.256818181818181862e-03 3.467727272727273019e-02 4.850906818181818458e+00 5.832420454545454547e+00
8.750000000000000000e-01 2.000000000000000042e-03 2.985227272727272729e-02 4.209388636363637026e+00 6.263295454545454888e+00
8.850000000000000089e-01 1.486363636363636359e-03 2.785227272727272899e-02 3.589720454545454409e+00 6.636688636363636817e+00
8.949999999999999067e-01 1.486363636363636359e-03 2.156818181818181621e-02 2.821325000000000305e+00 6.823243181818182457e+00
9.050000000000000266e-01 2.284090909090909661e-03 2.571590909090909136e-02 2.246318181818181881e+00 7.143870454545454329e+00
9.150000000000001465e-01 1.000000000000000021e-03 1.851363636363636406e-02 1.744704545454545341e+00 6.987684090909091594e+00
9.250000000000001554e-01 1.256818181818181862e-03 1.751363636363636317e-02 1.301102272727272746e+00 6.879609090909091229e+00
9.350000000000000533e-01 2.000000000000000042e-03 1.625681818181818131e-02 9.893977272727273453e-01 6.886293181818182063e+00
9.449999999999999512e-01 7.431818181818181795e-04 1.405454545454545671e-02 8.077090909090909321e-01 6.630288636363637522e+00
9.549999999999998490e-01 7.431818181818181795e-04 1.277045454545454491e-02 6.238181818181817162e-01 6.332690909090909592e+00
9.650000000000000799e-01 1.256818181818181862e-03 1.379772727272727401e-02 5.021295454545454673e-01 5.810245454545455601e+00
9.749999999999999778e-01 2.000000000000000042e-03 1.351363636363636482e-02 3.768681818181817689e-01 5.254581818181818242e+00
9.849999999999999867e-01 1.513636363636363703e-03 1.551363636363636313e-02 3.075454545454545108e-01 4.717188636363636611e+00
9.949999999999999956e-01 7.431818181818181795e-04 1.128409090909090855e-02 2.470000000000000251e-01 4.264093181818181755e+00
1.004999999999999893e+00 2.256818181818181883e-03 8.972727272727272843e-03 2.040000000000000147e-01 3.825400000000000134e+00
1.015000000000000124e+00 1.256818181818181862e-03 1.179772727272727223e-02 1.716227272727272879e-01 3.555500000000000327e+00
1.025000000000000133e+00 1.256818181818181862e-03 1.331136363636363680e-02 1.217159090909090829e-01 3.104149999999999743e+00
1.035000000000000142e+00 0.000000000000000000e+00 7.229545454545454643e-03 1.005409090909090974e-01 2.641988636363636456e+00
1.044999999999999929e+00 2.229545454545454539e-03 8.256818181818182875e-03 7.874318181818182327e-02 2.385015909090909325e+00
1.055000000000000160e+00 7.431818181818181795e-04 1.028409090909090939e-02 6.617500000000001159e-02 2.048677272727272403e+00
1.064999999999999947e+00 1.256818181818181862e-03 1.125681818181818034e-02 5.579772727272726968e-02 1.719693181818181760e+00
1.075000000000000400e+00 7.431818181818181795e-04 1.000000000000000021e-02 4.702727272727273006e-02 1.489361363636363844e+00
1.084999999999999964e+00 1.284090909090909423e-03 8.540909090909092061e-03 3.799999999999999906e-02 1.243863636363636616e+00
1.095000000000000195e+00 7.431818181818181795e-04 8.000000000000000167e-03 3.148636363636363872e-02 1.068163636363636426e+00
1.104999999999999982e+00 1.256818181818181862e-03 5.770454545454545628e-03 2.708181818181818259e-02 8.593272727272728284e-01
1.115000000000000213e+00 1.486363636363636359e-03 6.770454545454545649e-03 2.502727272727272786e-02 7.336454545454546006e-01
1.125000000000000222e+00 0.000000000000000000e+00 5.743181818181818284e-03 1.702727272727273117e-02 5.785022727272727261e-01
1.134999999999999787e+00 7.431818181818181795e-04 5.715909090909090939e-03 1.631136363636363773e-02 4.897977272727272458e-01
1.145000000000000018e+00 7.431818181818181795e-04 5.770454545454545628e-03 1.725681818181818220e-02 4.133659090909090339e-01
1.154999999999999805e+00 0.000000000000000000e+00 5.000000000000000104e-03 1.317500000000000095e-02 3.302568181818182347e-01
1.165000000000000036e+00 0.000000000000000000e+00 5.000000000000000104e-03 1.297272727272727293e-02 2.758636363636364219e-01
1.174999999999999822e+00 7.431818181818181795e-04 3.000000000000000496e-03 1.025681818181818292e-02 2.134477272727272612e-01
1.185000000000000053e+00 7.431818181818181795e-04 2.972727272727272718e-03 9.540909090909092949e-03 1.703818181818181898e-01
1.195000000000000062e+00 0.000000000000000000e+00 2.770454545454545999e-03 1.231136363636363765e-02 1.330431818181818104e-01
1.205000000000000071e+00 1.256818181818181862e-03 2.743181818181818221e-03 5.715909090909090939e-03 1.232727272727272838e-01
1.215000000000000080e+00 7.431818181818181795e-04 2.770454545454545999e-03 1.025681818181818292e-02 8.908181818181817868e-02
1.224999999999999867e+00 7.431818181818181795e-04 4.486363636363636422e-03 5.229545454545454601e-03 7.959545454545455256e-02
1.234999999999999876e+00 7.431818181818181795e-04 1.486363636363636359e-03 3.972727272727272739e-03 6.385227272727272974e-02
1.245000000000000329e+00 0.000000000000000000e+00 1.513636363636363703e-03 4.540909090909091110e-03 5.310909090909091829e-02
1.254999999999999893e+00 7.431818181818181795e-04 1.513636363636363703e-03 3.743181818181818676e-03 4.931136363636363928e-02
1.265000000000000124e+00 7.431818181818181795e-04 1.486363636363636359e-03 5.513636363636363787e-03 3.513636363636363918e-02
1.275000000000000133e+00 7.431818181818181795e-04 3.513636363636364179e-03 3.000000000000000496e-03 2.854090909090908901e-02
1.285000000000000142e+00 0.000000000000000000e+00 2.000000000000000042e-03 3.486363636363636834e-03 2.687954545454545457e-02
1.294999999999999929e+00 1.486363636363636359e-03 1.743181818181818417e-03 3.486363636363636834e-03 2.608181818181818518e-02
1.305000000000000160e+00 0.000000000000000000e+00 7.431818181818181795e-04 3.770454545454545586e-03 1.720227272727272924e-02
1.314999999999999947e+00 2.229545454545454539e-03 5.972727272727272781e-03 8.972727272727272843e-03 2.591818181818182285e-02
