# Planck lensing noise curves.
# These curves have been low-pass filtered.
#    ell           Noise       Sig+Noise
       0     0.00000e+00     0.00000e+00
       1     2.60033e-07     3.19529e-07
       2     1.50260e-07     2.30576e-07
       3     1.48535e-07     2.46044e-07
       4     1.53969e-07     2.66233e-07
       5     1.56804e-07     2.81866e-07
       6     1.55878e-07     2.92095e-07
       7     1.61606e-07     3.07630e-07
       8     1.59205e-07     3.13905e-07
       9     1.60059e-07     3.22479e-07
      10     1.63736e-07     3.33021e-07
      11     1.61746e-07     3.37204e-07
      12     1.62230e-07     3.43202e-07
      13     1.65669e-07     3.51573e-07
      14     1.66285e-07     3.56603e-07
      15     1.67761e-07     3.62053e-07
      16     1.65302e-07     3.63160e-07
      17     1.66994e-07     3.68040e-07
      18     1.66485e-07     3.70406e-07
      19     1.66594e-07     3.73075e-07
      20     1.67108e-07     3.75852e-07
      21     1.68543e-07     3.79297e-07
      22     1.70577e-07     3.83121e-07
      23     1.67134e-07     3.81250e-07
      24     1.69330e-07     3.84828e-07
      25     1.68164e-07     3.84840e-07
      26     1.69379e-07     3.87076e-07
      27     1.67389e-07     3.85949e-07
      28     1.69835e-07     3.89118e-07
      29     1.68847e-07     3.88712e-07
      30     1.68513e-07     3.88849e-07
      31     1.69689e-07     3.90355e-07
      32     1.70164e-07     3.91081e-07
      33     1.72088e-07     3.93146e-07
      34     1.71803e-07     3.92908e-07
      35     1.70416e-07     3.91490e-07
      36     1.72603e-07     3.93551e-07
      37     1.74483e-07     3.95243e-07
      38     1.70976e-07     3.91469e-07
      39     1.72764e-07     3.92927e-07
      40     1.74433e-07     3.94219e-07
      41     1.73214e-07     3.92560e-07
      42     1.71110e-07     3.89953e-07
      43     1.74576e-07     3.92886e-07
      44     1.75288e-07     3.93001e-07
      45     1.72134e-07     3.89218e-07
      46     1.77185e-07     3.93594e-07
      47     1.77214e-07     3.92916e-07
      48     1.75222e-07     3.90186e-07
      49     1.74784e-07     3.88978e-07
      50     1.76973e-07     3.90366e-07
      51     1.77792e-07     3.90352e-07
      52     1.77175e-07     3.88887e-07
      53     1.79780e-07     3.90612e-07
      54     1.79596e-07     3.89533e-07
      55     1.76427e-07     3.85438e-07
      56     1.78555e-07     3.86622e-07
      57     1.78288e-07     3.85413e-07
      58     1.80262e-07     3.86413e-07
      59     1.80962e-07     3.86124e-07
      60     1.82010e-07     3.86182e-07
      61     1.80969e-07     3.84136e-07
      62     1.80959e-07     3.83105e-07
      63     1.79983e-07     3.81108e-07
      64     1.82868e-07     3.82956e-07
      65     1.81650e-07     3.80685e-07
      66     1.81925e-07     3.79909e-07
      67     1.84848e-07     3.81779e-07
