# Planck lensing noise curves.
# These curves have been low-pass filtered.
#    ell           Noise       Sig+Noise
     166     3.36328e-07     4.45977e-07
     167     3.37980e-07     4.47029e-07
     168     3.39726e-07     4.48182e-07
     169     3.41623e-07     4.49488e-07
     170     3.43701e-07     4.50980e-07
     171     3.45648e-07     4.52347e-07
     172     3.48114e-07     4.54238e-07
     173     3.50059e-07     4.55612e-07
     174     3.51676e-07     4.56663e-07
     175     3.53145e-07     4.57571e-07
     176     3.54944e-07     4.58812e-07
     177     3.57481e-07     4.60799e-07
     178     3.59721e-07     4.62490e-07
     179     3.61606e-07     4.63834e-07
     180     3.63371e-07     4.65060e-07
     181     3.65608e-07     4.66763e-07
     182     3.67280e-07     4.67906e-07
     183     3.69379e-07     4.69478e-07
     184     3.71588e-07     4.71167e-07
     185     3.73834e-07     4.72896e-07
     186     3.75878e-07     4.74428e-07
     187     3.77471e-07     4.75512e-07
     188     3.79517e-07     4.77054e-07
     189     3.82228e-07     4.79265e-07
     190     3.84533e-07     4.81074e-07
     191     3.86435e-07     4.82485e-07
     192     3.88435e-07     4.83996e-07
     193     3.90539e-07     4.85616e-07
     194     3.92909e-07     4.87505e-07
     195     3.95223e-07     4.89344e-07
     196     3.97120e-07     4.90769e-07
     197     3.98759e-07     4.91938e-07
     198     4.00480e-07     4.93195e-07
     199     4.02715e-07     4.94970e-07
     200     4.05417e-07     4.97212e-07
     201     4.07740e-07     4.99081e-07
     202     4.10130e-07     5.01021e-07
     203     4.12602e-07     5.03047e-07
     204     4.14688e-07     5.04690e-07
     205     4.16638e-07     5.06200e-07
     206     4.18460e-07     5.07586e-07
     207     4.21072e-07     5.09764e-07
     208     4.23124e-07     5.11387e-07
     209     4.24652e-07     5.12488e-07
     210     4.26213e-07     5.13626e-07
     211     4.28810e-07     5.15804e-07
     212     4.30445e-07     5.17023e-07
     213     4.32272e-07     5.18437e-07
     214     4.34510e-07     5.20264e-07
     215     4.36835e-07     5.22183e-07
     216     4.39548e-07     5.24492e-07
     217     4.42044e-07     5.26587e-07
     218     4.44600e-07     5.28746e-07
     219     4.46790e-07     5.30542e-07
     220     4.48816e-07     5.32177e-07
     221     4.50887e-07     5.33860e-07
     222     4.53690e-07     5.36278e-07
     223     4.55986e-07     5.38192e-07
     224     4.58581e-07     5.40407e-07
     225     4.60998e-07     5.42449e-07
     226     4.64078e-07     5.45154e-07
     227     4.66725e-07     5.47431e-07
     228     4.69303e-07     5.49640e-07
     229     4.71991e-07     5.51964e-07
     230     4.74808e-07     5.54417e-07
     231     4.76699e-07     5.55949e-07
     232     4.79884e-07     5.58778e-07
     233     4.81962e-07     5.60500e-07
     234     4.84573e-07     5.62759e-07
     235     4.86691e-07     5.64528e-07
     236     4.89102e-07     5.66592e-07
     237     4.91533e-07     5.68680e-07
     238     4.94322e-07     5.71128e-07
     239     4.96669e-07     5.73135e-07
     240     4.98903e-07     5.75033e-07
     241     5.01092e-07     5.76888e-07
     242     5.03573e-07     5.79037e-07
     243     5.05896e-07     5.81031e-07
     244     5.08205e-07     5.83013e-07
     245     5.10729e-07     5.85211e-07
     246     5.12656e-07     5.86814e-07
     247     5.14972e-07     5.88811e-07
     248     5.16771e-07     5.90292e-07
     249     5.19491e-07     5.92696e-07
     250     5.21971e-07     5.94863e-07
     251     5.24926e-07     5.97506e-07
     252     5.26474e-07     5.98745e-07
     253     5.29782e-07     6.01745e-07
     254     5.32234e-07     6.03892e-07
     255     5.34744e-07     6.06097e-07
     256     5.36865e-07     6.07919e-07
     257     5.38937e-07     6.09690e-07
     258     5.40701e-07     6.11157e-07
     259     5.42877e-07     6.13038e-07
     260     5.45671e-07     6.15538e-07
     261     5.48114e-07     6.17691e-07
     262     5.50064e-07     6.19352e-07
     263     5.51931e-07     6.20931e-07
     264     5.54097e-07     6.22811e-07
     265     5.56793e-07     6.25224e-07
     266     5.59322e-07     6.27471e-07
     267     5.61838e-07     6.29707e-07
     268     5.64971e-07     6.32562e-07
     269     5.66924e-07     6.34239e-07
     270     5.69014e-07     6.36056e-07
     271     5.71000e-07     6.37768e-07
     272     5.73441e-07     6.39939e-07
     273     5.75398e-07     6.41628e-07
     274     5.77181e-07     6.43143e-07
     275     5.79008e-07     6.44704e-07
     276     5.81250e-07     6.46683e-07
     277     5.83016e-07     6.48187e-07
     278     5.84943e-07     6.49852e-07
     279     5.87008e-07     6.51659e-07
     280     5.88658e-07     6.53053e-07
     281     5.90148e-07     6.54286e-07
     282     5.92041e-07     6.55927e-07
     283     5.94914e-07     6.58547e-07
     284     5.97103e-07     6.60486e-07
     285     5.98777e-07     6.61910e-07
     286     6.00129e-07     6.63014e-07
     287     6.01727e-07     6.64367e-07
     288     6.02743e-07     6.65138e-07
     289     6.04449e-07     6.66602e-07
     290     6.06833e-07     6.68744e-07
     291     6.08365e-07     6.70036e-07
     292     6.10060e-07     6.71493e-07
     293     6.11556e-07     6.72753e-07
     294     6.13262e-07     6.74222e-07
     295     6.15179e-07     6.75905e-07
     296     6.16786e-07     6.77278e-07
     297     6.18636e-07     6.78898e-07
     298     6.20481e-07     6.80514e-07
     299     6.22267e-07     6.82070e-07
     300     6.23833e-07     6.83408e-07
     301     6.25417e-07     6.84766e-07
     302     6.27174e-07     6.86299e-07
     303     6.27933e-07     6.86834e-07
     304     6.29350e-07     6.88029e-07
     305     6.30308e-07     6.88766e-07
     306     6.31677e-07     6.89915e-07
     307     6.32872e-07     6.90892e-07
     308     6.34478e-07     6.92281e-07
     309     6.35273e-07     6.92861e-07
     310     6.35631e-07     6.93004e-07
     311     6.36809e-07     6.93968e-07
     312     6.38037e-07     6.94984e-07
     313     6.39513e-07     6.96250e-07
     314     6.40962e-07     6.97488e-07
     315     6.42871e-07     6.99190e-07
     316     6.44200e-07     7.00310e-07
     317     6.45243e-07     7.01147e-07
     318     6.46524e-07     7.02224e-07
     319     6.47841e-07     7.03337e-07
     320     6.48660e-07     7.03954e-07
     321     6.50294e-07     7.05385e-07
     322     6.51158e-07     7.06049e-07
