# Angular number densities per z bin ("number per bin")
# i.e., the number of galaxies per sq.deg. that have zmin<z<zmax.
# Both imaging and spectroscopic weights are included.
# The dz size is 0.01.
# 
# Columns are: redshift, dNdz (sample 1), dNdz (sample 2), dNdz (sample 3), dNdz (sample 4)
3.250000000000000111e-01 2.340000000000000135e-01 3.500000000000000333e-02 2.299999999999999961e-02 8.999999999999999320e-03
3.350000000000000200e-01 3.709999999999999964e-01 6.400000000000000133e-02 1.299999999999999940e-02 1.000000000000000021e-02
3.449999999999999734e-01 4.979999999999999982e-01 5.500000000000000028e-02 1.499999999999999944e-02 1.600000000000000033e-02
3.549999999999999822e-01 6.700000000000000400e-01 5.600000000000000117e-02 1.799999999999999864e-02 1.600000000000000033e-02
3.649999999999999911e-01 1.064000000000000057e+00 5.899999999999999689e-02 1.899999999999999953e-02 8.999999999999999320e-03
3.750000000000000000e-01 1.302000000000000046e+00 8.000000000000000167e-02 1.499999999999999944e-02 7.000000000000000146e-03
3.850000000000000089e-01 1.770000000000000018e+00 8.000000000000000167e-02 2.500000000000000139e-02 2.500000000000000139e-02
3.950000000000000178e-01 2.323999999999999844e+00 8.100000000000000255e-02 1.700000000000000122e-02 1.099999999999999936e-02
4.050000000000000266e-01 2.906000000000000139e+00 8.000000000000000167e-02 1.099999999999999936e-02 1.099999999999999936e-02
4.149999999999999800e-01 3.653999999999999915e+00 8.400000000000000522e-02 5.000000000000000104e-03 1.499999999999999944e-02
4.249999999999999889e-01 4.423000000000000043e+00 1.059999999999999970e-01 1.499999999999999944e-02 8.999999999999999320e-03
4.349999999999999978e-01 4.592999999999999972e+00 1.380000000000000115e-01 1.499999999999999944e-02 6.000000000000000125e-03
4.450000000000000067e-01 4.818999999999999950e+00 1.479999999999999927e-01 1.600000000000000033e-02 1.200000000000000025e-02
4.550000000000000155e-01 4.892000000000000348e+00 2.030000000000000138e-01 1.600000000000000033e-02 1.000000000000000021e-02
4.649999999999999689e-01 4.584999999999999964e+00 2.129999999999999949e-01 2.299999999999999961e-02 1.799999999999999864e-02
4.749999999999999778e-01 5.224000000000000199e+00 2.849999999999999756e-01 2.199999999999999872e-02 1.099999999999999936e-02
4.849999999999999867e-01 5.296999999999999709e+00 3.790000000000000036e-01 2.900000000000000147e-02 5.000000000000000104e-03
4.949999999999999956e-01 5.567000000000000171e+00 5.859999999999999654e-01 1.499999999999999944e-02 1.200000000000000025e-02
5.050000000000000044e-01 5.503999999999999559e+00 9.439999999999999503e-01 2.900000000000000147e-02 6.000000000000000125e-03
5.150000000000000133e-01 4.972000000000000419e+00 1.266999999999999904e+00 2.599999999999999881e-02 1.200000000000000025e-02
5.250000000000000222e-01 4.804999999999999716e+00 1.846000000000000085e+00 3.699999999999999817e-02 8.000000000000000167e-03
5.350000000000000311e-01 4.182999999999999829e+00 3.153000000000000025e+00 4.100000000000000172e-02 8.999999999999999320e-03
5.450000000000000400e-01 2.960999999999999854e+00 4.333000000000000185e+00 5.399999999999999939e-02 2.999999999999999889e-02
